Target name,HGNC symbol,Has_Biased_Agonist,Clinical_Potential,Indications,Indication_Needs,Suggested_Program
5-HT5A receptor,HTR5A,Not known,"Yes, 5-HT5A receptors are implicated in a variety of neurological and psychiatric disorders, including schizophrenia, anxiety, and depression. However, further research is needed to fully understand the therapeutic potential of targeting this receptor.","Schizophrenia, Anxiety, Depression","{""Schizophrenia"": ""Yes, current treatments for schizophrenia have significant side effects and do not work for all patients. New treatments targeting different pathways, such as the 5-HT5A receptor, could potentially provide better options."", ""Anxiety"": ""Yes, while there are many treatments available for anxiety, they do not work for all patients and can have significant side effects. Targeting the 5-HT5A receptor could potentially provide a new treatment option."", ""Depression"": ""Yes, current treatments for depression are not effective for all patients and can have significant side effects. New treatments targeting the 5-HT5A receptor could potentially provide better options.""}","{""Schizophrenia"": ""Drug discovery program focusing on the development of selective 5-HT5A receptor agonists or antagonists."", ""Anxiety"": ""Drug discovery program focusing on the development of selective 5-HT5A receptor agonists or antagonists."", ""Depression"": ""Drug discovery program focusing on the development of selective 5-HT5A receptor agonists or antagonists.""}"
5-ht5b receptor,HTR5BP,Not known,"No, the 5-ht5b receptor is a pseudogene, meaning it is a non-functional copy of a gene that does not produce a functional protein. Therefore, it is unlikely to be a viable target for drug development.",Not applicable,"{""Not applicable"": ""Not applicable""}","{""Not applicable"": ""Not applicable""}"
5-HT6 receptor,HTR6,"Yes, there are biased agonists for the 5-HT6 receptor. Biased agonists are drugs that can activate the receptor in a way that preferentially stimulates certain signaling pathways over others. This can potentially lead to improved therapeutic effects and reduced side effects.","Yes, there is clinical potential for the 5-HT6 receptor as a drug target. This receptor is involved in the regulation of cognition and mood, and drugs targeting this receptor could potentially be used to treat conditions such as Alzheimer's disease, schizophrenia, and depression.","Alzheimer's disease, Schizophrenia, Depression","{""Alzheimer's disease"": ""Yes, there is a need for new treatments for Alzheimer's disease. Current treatments can only alleviate symptoms and cannot stop the progression of the disease."", ""Schizophrenia"": ""Yes, there is a need for new treatments for schizophrenia. Current antipsychotic drugs can have serious side effects and are not effective for all patients."", ""Depression"": ""Yes, there is a need for new treatments for depression. Current antidepressants can take weeks to start working and are not effective for all patients.""}","{""Alzheimer's disease"": ""Drug discovery program focused on developing biased agonists for the 5-HT6 receptor that can enhance cognitive function and slow the progression of the disease."", ""Schizophrenia"": ""Drug discovery program focused on developing biased agonists for the 5-HT6 receptor that can alleviate psychotic symptoms without causing serious side effects."", ""Depression"": ""Drug discovery program focused on developing biased agonists for the 5-HT6 receptor that can improve mood and start working faster than current antidepressants.""}"
5-HT7 receptor,HTR7,"Yes, biased agonists for the 5-HT7 receptor have been identified. Biased agonists can selectively activate certain signaling pathways over others, potentially leading to more targeted therapies with fewer side effects.","Yes, the 5-HT7 receptor has been implicated in a variety of neurological and psychiatric disorders, including depression, anxiety, schizophrenia, and circadian rhythm disorders. Therefore, drugs targeting this receptor could have significant clinical potential.","Depression, Anxiety, Schizophrenia, Circadian rhythm disorders","{""Depression"": ""Yes, current treatments for depression often have significant side effects and are ineffective for many patients, indicating a need for new therapeutic approaches."", ""Anxiety"": ""Yes, while there are effective treatments for anxiety, many patients do not respond to current therapies, suggesting a need for additional treatment options."", ""Schizophrenia"": ""Yes, schizophrenia is a complex disorder with a high unmet need for effective treatments with fewer side effects."", ""Circadian rhythm disorders"": ""Yes, there are currently limited treatment options for circadian rhythm disorders, indicating a need for new therapeutic strategies.""}","{""Depression"": ""Develop selective 5-HT7 receptor agonists or antagonists and evaluate their efficacy in preclinical models of depression."", ""Anxiety"": ""Investigate the role of the 5-HT7 receptor in anxiety and develop targeted therapies."", ""Schizophrenia"": ""Explore the potential of 5-HT7 receptor antagonists as a novel treatment approach for schizophrenia."", ""Circadian rhythm disorders"": ""Study the role of the 5-HT7 receptor in regulating circadian rhythms and develop targeted therapies.""}"
M1 receptor,CHRM1,"Yes, biased agonists for the M1 receptor have been identified. Biased agonists can selectively activate certain signaling pathways over others, which can potentially lead to more targeted therapies with fewer side effects.","Yes, the M1 receptor is a potential target for a number of neurological and psychiatric disorders, including Alzheimer's disease, schizophrenia, and Parkinson's disease. This is due to the role of the M1 receptor in cognitive function and its distribution in the brain.","Alzheimer's disease, Schizophrenia, Parkinson's disease","{""Alzheimer's disease"": ""Yes, there is a need for more effective treatments for Alzheimer's disease. Current treatments can only manage symptoms and do not slow the progression of the disease."", ""Schizophrenia"": ""Yes, there is a need for more effective treatments for schizophrenia. Current treatments can have serious side effects and do not work for all patients."", ""Parkinson's disease"": ""Yes, there is a need for more effective treatments for Parkinson's disease. Current treatments can only manage symptoms and do not slow the progression of the disease.""}","{""Alzheimer's disease"": ""Drug discovery program focusing on the development of M1 receptor agonists or positive allosteric modulators to enhance cognitive function and potentially slow disease progression."", ""Schizophrenia"": ""Drug discovery program focusing on the development of M1 receptor agonists or positive allosteric modulators to enhance cognitive function and potentially improve symptoms."", ""Parkinson's disease"": ""Drug discovery program focusing on the development of M1 receptor agonists or positive allosteric modulators to enhance cognitive function and potentially slow disease progression.""}"
M2 receptor,CHRM2,Not known,"Yes, M2 receptors are involved in various physiological functions such as heart rate regulation, smooth muscle contraction, and neuronal signaling. Therefore, drugs targeting these receptors could potentially be used for conditions such as arrhythmias, asthma, and neurological disorders.","Arrhythmias, Asthma, Neurological disorders","{""Arrhythmias"": ""Yes, M2 receptors are involved in heart rate regulation. Therefore, drugs targeting these receptors could potentially be used for treating arrhythmias."", ""Asthma"": ""Yes, M2 receptors are involved in smooth muscle contraction. Therefore, drugs targeting these receptors could potentially be used for treating asthma."", ""Neurological disorders"": ""Yes, M2 receptors are involved in neuronal signaling. Therefore, drugs targeting these receptors could potentially be used for treating neurological disorders.""}","{""Arrhythmias"": ""Development of selective M2 receptor agonists or antagonists"", ""Asthma"": ""Development of selective M2 receptor agonists or antagonists"", ""Neurological disorders"": ""Development of selective M2 receptor agonists or antagonists""}"
M3 receptor,CHRM3,"Yes, several biased agonists for the M3 receptor have been identified. Biased agonists can selectively activate certain signaling pathways over others, which can lead to more targeted and potentially safer therapies.","Yes, the M3 receptor is a potential target for several diseases, including chronic obstructive pulmonary disease (COPD), asthma, and overactive bladder. However, more research is needed to fully understand the therapeutic potential of targeting this receptor.","Chronic obstructive pulmonary disease, Asthma, Overactive bladder","{""Chronic obstructive pulmonary disease"": ""Yes, COPD is a major cause of morbidity and mortality worldwide, and there is a need for more effective treatments. Targeting the M3 receptor could potentially help relax the airways and improve lung function."", ""Asthma"": ""Yes, asthma is a common and potentially serious chronic disease that impacts quality of life. Current treatments can have side effects and may not be effective for all patients. Targeting the M3 receptor could potentially provide a new treatment option."", ""Overactive bladder"": ""Yes, overactive bladder can significantly impact quality of life, and current treatments can have side effects and may not be effective for all patients. Targeting the M3 receptor could potentially provide a new treatment option.""}","{""Chronic obstructive pulmonary disease"": ""Drug discovery program focused on identifying and developing biased agonists for the M3 receptor."", ""Asthma"": ""Drug discovery program focused on identifying and developing biased agonists for the M3 receptor."", ""Overactive bladder"": ""Drug discovery program focused on identifying and developing biased agonists for the M3 receptor.""}"
M4 receptor,CHRM4,"Yes, biased agonists for the M4 receptor have been identified. Biased agonists can selectively activate certain signaling pathways over others, which can potentially lead to more targeted therapies with fewer side effects.","Yes, the M4 receptor has been implicated in several neurological and psychiatric disorders, including schizophrenia, Parkinson's disease, and Alzheimer's disease. Therefore, drugs targeting the M4 receptor could potentially be used to treat these conditions.","Schizophrenia, Parkinson's disease, Alzheimer's disease","{""Schizophrenia"": ""Yes, current treatments for schizophrenia have significant side effects and are not effective for all patients. Therefore, new treatments are needed."", ""Parkinson's disease"": ""Yes, while current treatments can help manage the symptoms of Parkinson's disease, they do not slow the progression of the disease. Therefore, new treatments are needed."", ""Alzheimer's disease"": ""Yes, there are currently no treatments that can stop or reverse the progression of Alzheimer's disease. Therefore, new treatments are needed.""}","{""Schizophrenia"": ""Drug discovery program focused on developing biased agonists for the M4 receptor that can selectively activate the signaling pathways involved in the pathophysiology of schizophrenia."", ""Parkinson's disease"": ""Drug discovery program focused on developing drugs that can modulate the activity of the M4 receptor to slow the progression of Parkinson's disease."", ""Alzheimer's disease"": ""Drug discovery program focused on developing drugs that can modulate the activity of the M4 receptor to slow the progression of Alzheimer's disease.""}"
M5 receptor,CHRM5,Not known,"Yes, M5 receptor is a potential target for the treatment of various neurological disorders such as Alzheimer's disease, schizophrenia, and drug addiction due to its role in modulating dopamine release in the brain.","Alzheimer's disease, Schizophrenia, Drug addiction","{""Alzheimer's disease"": ""Yes, current treatments for Alzheimer's disease are limited and do not stop the progression of the disease. Targeting the M5 receptor could potentially offer a new therapeutic approach."", ""Schizophrenia"": ""Yes, current antipsychotic drugs have significant side effects and do not effectively treat all symptoms of schizophrenia. M5 receptor antagonists could potentially provide a new treatment option with fewer side effects."", ""Drug addiction"": ""Yes, M5 receptor antagonists have been shown to reduce drug-seeking behavior in animal models, suggesting potential for treatment of drug addiction.""}","{""Alzheimer's disease"": ""Development of M5 receptor antagonists or modulators for the treatment of Alzheimer's disease."", ""Schizophrenia"": ""Development of M5 receptor antagonists or modulators for the treatment of schizophrenia."", ""Drug addiction"": ""Development of M5 receptor antagonists or modulators for the treatment of drug addiction.""}"
A1 receptor,ADORA1,Not known,"Yes, the A1 receptor is a potential target for a variety of conditions due to its role in inhibiting adenylate cyclase activity in a variety of tissues. This includes potential use in cardiovascular conditions, neurological conditions, and potentially in the treatment of pain.","Cardiovascular conditions, Neurological conditions, Pain","{""Cardiovascular conditions"": ""Yes, the A1 receptor is involved in the regulation of myocardial oxygen consumption and coronary blood flow, making it a potential target for cardiovascular conditions."", ""Neurological conditions"": ""Yes, the A1 receptor is involved in the regulation of neurotransmitter release, making it a potential target for neurological conditions."", ""Pain"": ""Yes, the A1 receptor has been implicated in the modulation of pain, making it a potential target for pain management.""}","{""Cardiovascular conditions"": ""Drug discovery approach focusing on the development of selective A1 receptor agonists or antagonists."", ""Neurological conditions"": ""Drug discovery approach focusing on the development of selective A1 receptor agonists or antagonists, potentially in combination with other neurotransmitter modulating drugs."", ""Pain"": ""Drug discovery approach focusing on the development of selective A1 receptor agonists or antagonists, potentially in combination with other pain modulating drugs.""}"
A2A receptor,ADORA2A,"Yes, biased agonists for the A2A receptor have been identified. Biased agonists can selectively activate certain signaling pathways over others, which can lead to more targeted therapeutic effects and fewer side effects.","Yes, the A2A receptor has clinical potential as it is implicated in various diseases such as Parkinson's disease, inflammation, and cancer. Antagonists of the A2A receptor are being investigated for their potential therapeutic effects.","Parkinson's disease, Inflammation, Cancer","{""Parkinson's disease"": ""Yes, there is a need for more effective and safer treatments for Parkinson's disease. A2A receptor antagonists may help to improve motor symptoms and slow disease progression."", ""Inflammation"": ""Yes, there is a need for more targeted anti-inflammatory treatments. A2A receptor agonists may help to reduce inflammation without the side effects of current anti-inflammatory drugs."", ""Cancer"": ""Yes, there is a need for more targeted cancer treatments. A2A receptor antagonists may help to inhibit tumor growth and metastasis.""}","{""Parkinson's disease"": ""Drug discovery program focused on developing selective A2A receptor antagonists."", ""Inflammation"": ""Drug discovery program focused on developing selective A2A receptor agonists."", ""Cancer"": ""Drug discovery program focused on developing selective A2A receptor antagonists.""}"
A2B receptor,ADORA2B,Not known,"Yes, the A2B receptor is a potential target for various diseases including cancer, asthma, and cardiovascular diseases. Its role in immune response modulation also makes it a potential target for immunotherapies.","Cancer, Asthma, Cardiovascular diseases, Inflammatory diseases","{""Cancer"": ""Yes, the A2B receptor has been implicated in the growth and spread of various types of cancer, including breast and lung cancer."", ""Asthma"": ""Yes, the A2B receptor plays a role in airway inflammation and bronchoconstriction, key features of asthma."", ""Cardiovascular diseases"": ""Yes, the A2B receptor is involved in the regulation of blood flow and inflammation, which are key processes in cardiovascular diseases."", ""Inflammatory diseases"": ""Yes, the A2B receptor is involved in the regulation of immune response and inflammation, which are key processes in inflammatory diseases.""}","{""Cancer"": ""Drug discovery approach should focus on developing antagonists or inhibitors of the A2B receptor to prevent its activation and subsequent cancer progression."", ""Asthma"": ""Drug discovery approach should focus on developing antagonists or inhibitors of the A2B receptor to reduce airway inflammation and bronchoconstriction."", ""Cardiovascular diseases"": ""Drug discovery approach should focus on developing agonists or activators of the A2B receptor to promote vasodilation and reduce inflammation."", ""Inflammatory diseases"": ""Drug discovery approach should focus on developing agonists or activators of the A2B receptor to modulate immune response and reduce inflammation.""}"
A3 receptor,ADORA3,Not known,"Yes, the A3 receptor has clinical potential as it is involved in various physiological and pathological processes. Modulation of this receptor could be beneficial in treating conditions such as inflammation, cancer, and ischemia.","Inflammation, Cancer, Ischemia","{""Inflammation"": ""Yes, inflammation is a common response to injury or infection and modulation of the A3 receptor could help reduce this response and alleviate symptoms."", ""Cancer"": ""Yes, the A3 receptor has been implicated in the growth and proliferation of certain types of cancer cells. Targeting this receptor could potentially slow or stop the growth of these cells."", ""Ischemia"": ""Yes, the A3 receptor plays a role in the response to ischemia, a condition where blood flow (and thus oxygen) is reduced to a part of the body. Modulating this receptor could potentially improve outcomes in conditions such as stroke or heart attack.""}","{""Inflammation"": ""Drug discovery program focused on developing small molecule inhibitors or antagonists of the A3 receptor."", ""Cancer"": ""Drug discovery program focused on developing targeted therapies that modulate the A3 receptor to inhibit cancer cell growth."", ""Ischemia"": ""Drug discovery program focused on developing drugs that can modulate the A3 receptor to improve blood flow to ischemic tissues.""}"
ADGRA1,ADGRA1,Not known,Not known,,{},{}
ADGRA2,ADGRA2,Not known,"Yes, ADGRA2 (GPR124) is a critical regulator of the Wnt/β-catenin signaling pathway, which is involved in various biological processes including cell proliferation, differentiation, and migration. Dysregulation of this pathway is associated with various diseases including cancer and neurodegenerative diseases. Therefore, targeting ADGRA2 could have potential therapeutic benefits.","Cancer, Neurodegenerative diseases","{""Cancer"": ""Yes, as dysregulation of the Wnt/\u03b2-catenin signaling pathway is associated with cancer progression and metastasis. Targeting ADGRA2 could potentially inhibit this pathway and therefore have anti-cancer effects."", ""Neurodegenerative diseases"": ""Yes, as the Wnt/\u03b2-catenin signaling pathway is also involved in neuronal development and function. Dysregulation of this pathway is associated with neurodegenerative diseases. Therefore, targeting ADGRA2 could potentially have neuroprotective effects.""}","{""Cancer"": ""Drug discovery program focused on identifying and developing ADGRA2 antagonists or inhibitors that can inhibit the Wnt/\u03b2-catenin signaling pathway."", ""Neurodegenerative diseases"": ""Drug discovery program focused on identifying and developing ADGRA2 modulators that can regulate the Wnt/\u03b2-catenin signaling pathway.""}"
ADGRA3,ADGRA3,Not known,Not known,,{},{}
ADGRB1,ADGRB1,Not known,"Yes, ADGRB1 has been implicated in several diseases including brain cancer, Alzheimer's disease, and autoimmune diseases. However, more research is needed to fully understand its role and potential as a drug target.","Brain cancer, Alzheimer's disease, Autoimmune diseases","{""Brain cancer"": ""Yes, there is a need for new treatments for brain cancer as current therapies are often ineffective and have severe side effects."", ""Alzheimer's disease"": ""Yes, there is a significant need for new treatments for Alzheimer's disease as current therapies only manage symptoms and do not slow disease progression."", ""Autoimmune diseases"": ""Yes, there is a need for new treatments for autoimmune diseases as current therapies often have severe side effects and do not cure the disease.""}","{""Brain cancer"": ""Drug discovery program focusing on developing small molecule inhibitors or antibodies against ADGRB1."", ""Alzheimer's disease"": ""Drug discovery program focusing on developing small molecule inhibitors or antibodies against ADGRB1, potentially in combination with other therapies."", ""Autoimmune diseases"": ""Drug discovery program focusing on developing small molecule inhibitors or antibodies against ADGRB1, potentially in combination with other immunomodulatory therapies.""}"
ADGRB2,ADGRB2,Not known,"Yes, ADGRB2 has been implicated in various neurological disorders including Alzheimer's disease, depression, and schizophrenia. However, more research is needed to fully understand the therapeutic potential of targeting this receptor.","Alzheimer's disease, Depression, Schizophrenia","{""Alzheimer's disease"": ""Yes, current treatments for Alzheimer's disease are limited and often come with significant side effects. Targeting ADGRB2 could potentially provide a novel therapeutic approach."", ""Depression"": ""Yes, while there are many treatments available for depression, they do not work for all patients and can have significant side effects. A novel target like ADGRB2 could potentially provide a new treatment option."", ""Schizophrenia"": ""Yes, current treatments for schizophrenia are often inadequate and can have significant side effects. A novel target like ADGRB2 could potentially provide a new treatment option.""}","{""Alzheimer's disease"": ""Drug discovery program focused on developing small molecule inhibitors or agonists of ADGRB2."", ""Depression"": ""Drug discovery program focused on developing small molecule inhibitors or agonists of ADGRB2."", ""Schizophrenia"": ""Drug discovery program focused on developing small molecule inhibitors or agonists of ADGRB2.""}"
ADGRB3,ADGRB3,Not known,Not known,Not known,"{""Indication1"": ""Not known""}","{""Indication1"": ""Not known""}"
CELSR1,CELSR1,Not known,"Yes, CELSR1 has been implicated in various diseases such as neural tube defects, non-syndromic cleft lip with or without cleft palate, and Alzheimer's disease. However, further research is needed to fully understand its role and potential as a drug target.","Neural tube defects, Non-syndromic cleft lip with or without cleft palate, Alzheimer's disease","{""Neural tube defects"": ""Yes, there is a need for more effective treatments for neural tube defects, which are severe birth defects that affect the brain and spine."", ""Non-syndromic cleft lip with or without cleft palate"": ""Yes, while surgical correction is the current standard of care, a drug that could prevent or reduce the severity of this condition would be beneficial."", ""Alzheimer's disease"": ""Yes, there is a significant need for new treatments for Alzheimer's disease, a devastating neurodegenerative disorder.""}","{""Neural tube defects"": ""Drug discovery program focused on identifying and developing small molecules that can modulate CELSR1 activity."", ""Non-syndromic cleft lip with or without cleft palate"": ""Drug discovery program focused on identifying and developing small molecules that can modulate CELSR1 activity."", ""Alzheimer's disease"": ""Drug discovery program focused on identifying and developing small molecules that can modulate CELSR1 activity.""}"
CELSR2,CELSR2,Not known,Not known,,{},{}
CELSR3,CELSR3,Not known,Not known,,{},{}
ADGRD1,ADGRD1,Not known,Not known,,{},{}
ADGRD2,ADGRD2,Not known,Not known,,{},{}
ADGRE1,ADGRE1,Not known,"Yes, ADGRE1, also known as EMR1, is a cell surface receptor that is involved in various cellular processes such as cell adhesion and migration. It is expressed in various tissues and cell types, including immune cells. Dysregulation of this receptor has been implicated in several diseases, including inflammatory diseases and cancer, suggesting it may be a potential therapeutic target.","Inflammatory diseases, Cancer","{""Inflammatory diseases"": ""Yes, as ADGRE1 is involved in immune cell function and inflammation, targeting this receptor may help to modulate immune responses and reduce inflammation."", ""Cancer"": ""Yes, ADGRE1 has been implicated in cancer progression, possibly through its role in cell migration and adhesion. Therefore, targeting this receptor may help to inhibit cancer cell spread and growth.""}","{""Inflammatory diseases"": ""Drug discovery program focused on identifying and developing small molecule inhibitors or antibodies against ADGRE1 to modulate immune responses and reduce inflammation."", ""Cancer"": ""Drug discovery program focused on identifying and developing small molecule inhibitors or antibodies against ADGRE1 to inhibit cancer cell spread and growth.""}"
ADGRE2,ADGRE2,Not known,"Yes, ADGRE2 is implicated in several inflammatory and autoimmune diseases such as systemic lupus erythematosus and rheumatoid arthritis. Therefore, drugs targeting ADGRE2 could potentially be used to treat these conditions.","Systemic lupus erythematosus, Rheumatoid arthritis","{""Systemic lupus erythematosus"": ""Yes, current treatments for systemic lupus erythematosus can have severe side effects and are not always effective. Therefore, new treatments are needed."", ""Rheumatoid arthritis"": ""Yes, while there are many treatments available for rheumatoid arthritis, they do not work for everyone and can have serious side effects. Therefore, new treatments are needed.""}","{""Systemic lupus erythematosus"": ""A drug discovery program could focus on developing small molecule inhibitors or antibodies that target ADGRE2."", ""Rheumatoid arthritis"": ""A drug discovery program could focus on developing small molecule inhibitors or antibodies that target ADGRE2.""}"
ADGRE3,ADGRE3,Not known,Not known,,{},{}
ADGRE4P,ADGRE4P,Not known,"No, ADGRE4P is a pseudogene, which means it is a non-functional copy of a gene that has lost its protein-coding ability or is otherwise no longer expressed in the cell. Pseudogenes often arise from the genome's normal process of copying DNA, but because they are non-functional, they are usually not considered as potential drug targets.",,{},{}
ADGRE5,ADGRE5,Not known,"Yes, ADGRE5 (CD97) is overexpressed in several types of cancer including thyroid, gastric, and esophageal squamous cell carcinoma, suggesting its potential as a therapeutic target in these cancers.","Thyroid cancer, Gastric cancer, Esophageal squamous cell carcinoma","{""Thyroid cancer"": ""Yes, current treatments for thyroid cancer can have severe side effects and may not be effective in all patients, indicating a need for new therapeutic options."", ""Gastric cancer"": ""Yes, gastric cancer is often diagnosed at a late stage and has a poor prognosis, indicating a need for new therapeutic options."", ""Esophageal squamous cell carcinoma"": ""Yes, esophageal squamous cell carcinoma is highly aggressive and has a poor prognosis, indicating a need for new therapeutic options.""}","{""Thyroid cancer"": ""Development of a targeted therapy that inhibits ADGRE5 function or expression."", ""Gastric cancer"": ""Development of a targeted therapy that inhibits ADGRE5 function or expression."", ""Esophageal squamous cell carcinoma"": ""Development of a targeted therapy that inhibits ADGRE5 function or expression.""}"
ADGRF1,ADGRF1,Not known,Not known,,{},{}
ADGRF2,ADGRF2P,Not known,Not known,,{},{}
ADGRF3,ADGRF3,Not known,Not known,,{},{}
ADGRF4,ADGRF4,Not known. There is currently no available data on whether ADGRF4 has a biased agonist.,Not known. The clinical potential of ADGRF4 as a drug target is not yet established due to limited research.,Not known. There are currently no known specific indications for ADGRF4 due to limited research.,"{""Indication1"": ""Not known. The need for indications for ADGRF4 is not yet established due to limited research.""}","{""Indication1"": ""Not known. A specific drug discovery approach for ADGRF4 is not yet established due to limited research.""}"
ADGRF5,ADGRF5,Not known,Not known,,{},{}
ADGRG1,ADGRG1,Not known. Further research is needed to determine if there are biased agonists for ADGRG1.,"Yes. Mutations in ADGRG1 have been associated with various diseases, including bilateral frontoparietal polymicrogyria, a brain malformation. Therefore, drugs targeting ADGRG1 could potentially have therapeutic benefits.","Bilateral frontoparietal polymicrogyria, Cancer","{""Bilateral frontoparietal polymicrogyria"": ""Yes. There is currently no cure for this condition, and treatment is symptomatic. Drugs targeting ADGRG1 could potentially offer a new therapeutic approach."", ""Cancer"": ""Not known. While ADGRG1 has been implicated in cancer, further research is needed to determine the potential benefits of targeting this receptor in cancer therapy.""}","{""Bilateral frontoparietal polymicrogyria"": ""Drug discovery program focusing on identifying and developing biased agonists or antagonists for ADGRG1."", ""Cancer"": ""Research program to further investigate the role of ADGRG1 in cancer and to identify potential drug targets.""}"
ADGRG2,ADGRG2,Not known,Not known,,{},{}
ADGRG3,ADGRG3,Not known,Not known,,{},{}
ADGRG4,ADGRG4,Not known,Not known,,{},{}
ADGRG5,ADGRG5,Not known,Not known,,{},{}
ADGRG6,ADGRG6,Not known,"Yes, ADGRG6 (GPR126) is involved in several biological processes including myelination, heart development, and hearing. Mutations in this gene have been associated with diseases such as adolescent idiopathic scoliosis and peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome, and Hirschsprung disease. Therefore, it could be a potential therapeutic target for these diseases.","Adolescent idiopathic scoliosis, Peripheral demyelinating neuropathy, Central dysmyelinating leukodystrophy, Waardenburg syndrome, Hirschsprung disease","{""Adolescent idiopathic scoliosis"": ""Yes, as there are limited non-surgical treatment options available for this condition."", ""Peripheral demyelinating neuropathy"": ""Yes, as current treatments are not always effective and can have side effects."", ""Central dysmyelinating leukodystrophy"": ""Yes, as there is currently no cure for this condition."", ""Waardenburg syndrome"": ""Yes, as there is currently no cure for this condition."", ""Hirschsprung disease"": ""Yes, as current treatments can have complications and do not always fully resolve symptoms.""}","{""Adolescent idiopathic scoliosis"": ""Drug discovery approach focusing on modulation of ADGRG6 activity."", ""Peripheral demyelinating neuropathy"": ""Drug discovery approach focusing on modulation of ADGRG6 activity."", ""Central dysmyelinating leukodystrophy"": ""Drug discovery approach focusing on modulation of ADGRG6 activity."", ""Waardenburg syndrome"": ""Drug discovery approach focusing on modulation of ADGRG6 activity."", ""Hirschsprung disease"": ""Drug discovery approach focusing on modulation of ADGRG6 activity.""}"
ADGRG7,ADGRG7,Not known,Not known,,{},{}
ADGRL1,ADGRL1,Not known,"Yes, ADGRL1 is a potential therapeutic target due to its role in various biological processes such as neuronal development and function. However, more research is needed to fully understand its potential in clinical settings.","Neurodevelopmental disorders, Neurodegenerative diseases","{""Neurodevelopmental disorders"": ""Yes, as ADGRL1 plays a crucial role in neuronal development and function, targeting it could potentially help in the treatment of neurodevelopmental disorders."", ""Neurodegenerative diseases"": ""Yes, ADGRL1 may also be a potential target for neurodegenerative diseases due to its role in neuronal function. However, more research is needed to confirm this.""}","{""Neurodevelopmental disorders"": ""Drug discovery program focusing on the development of ADGRL1 agonists or antagonists."", ""Neurodegenerative diseases"": ""Drug discovery program focusing on the development of ADGRL1 modulators to regulate its function.""}"
ADGRL2,ADGRL2,Not known,Not known,,{},{}
ADGRL3,ADGRL3,Not known,"Yes, ADGRL3 has been associated with attention deficit hyperactivity disorder (ADHD) and other neuropsychiatric disorders. However, more research is needed to fully understand its role and potential as a therapeutic target.","Attention Deficit Hyperactivity Disorder, Neuropsychiatric Disorders","{""Attention Deficit Hyperactivity Disorder"": ""Yes, there is a need for more effective and safer treatments for ADHD. Current medications have side effects and do not work for all patients."", ""Neuropsychiatric Disorders"": ""Yes, there is a need for more targeted treatments for neuropsychiatric disorders. Current treatments often have side effects and are not effective for all patients.""}","{""Attention Deficit Hyperactivity Disorder"": ""Drug discovery program focusing on the development of selective ADGRL3 agonists or antagonists could be beneficial. Preclinical studies including in vitro and in vivo models of ADHD should be used to evaluate the efficacy and safety of these compounds."", ""Neuropsychiatric Disorders"": ""Drug discovery program focusing on the development of selective ADGRL3 agonists or antagonists. Preclinical studies including in vitro and in vivo models of various neuropsychiatric disorders should be used to evaluate the efficacy and safety of these compounds.""}"
ADGRL4,ADGRL4,Not known,"Yes, ADGRL4 is a promising target for anti-angiogenic therapy in cancer treatment. Its overexpression has been associated with tumor angiogenesis and poor prognosis in several types of cancer, including glioblastoma and colorectal cancer.","Glioblastoma, Colorectal cancer, Breast cancer","{""Glioblastoma"": ""Yes, current treatments for glioblastoma are limited and have significant side effects. Targeting ADGRL4 could provide a novel therapeutic approach."", ""Colorectal cancer"": ""Yes, despite advances in treatment, colorectal cancer remains a leading cause of cancer-related death. ADGRL4 could offer a new target for therapy."", ""Breast cancer"": ""Not known""}","{""Glioblastoma"": ""Development of small molecule inhibitors or antibodies against ADGRL4 for anti-angiogenic therapy."", ""Colorectal cancer"": ""Investigation of ADGRL4's role in colorectal cancer progression and development of targeted therapies."", ""Breast cancer"": ""Further research into the expression and function of ADGRL4 in breast cancer.""}"
ADGRV1,ADGRV1,Not known,"Yes, mutations in ADGRV1 have been associated with Usher syndrome type 2C, a disorder characterized by hearing loss and progressive vision loss. Therefore, drugs that can target and modulate the activity of ADGRV1 may have potential in treating this disorder.",Usher syndrome type 2C,"{""Usher syndrome type 2C"": ""Yes, currently there is no cure for Usher syndrome type 2C. Treatment is aimed at managing symptoms and improving quality of life. Therefore, a drug that can target the underlying cause of the disorder, such as a mutation in ADGRV1, could potentially offer a more effective treatment option.""}","{""Usher syndrome type 2C"": ""The drug discovery approach could involve the development of small molecules or biologics that can modulate the activity of ADGRV1. This could involve high-throughput screening to identify potential drug candidates, followed by in vitro and in vivo testing to evaluate their efficacy and safety. Additionally, gene therapy could be explored as a potential treatment approach, given the genetic nature of the disorder.""}"
